,Position,AvgFinishes,Round,Year,CumulativePoints,TeamAvgFinish,TeamRollingAvg,PointsShifted
133,15.0,13.0,7,2024,0.0,16.5,15.666666666666666,0.0
134,16.0,12.0,7,2024,0.0,15.0,12.333333333333334,0.0
135,17.0,15.333333333333334,7,2024,0.0,18.5,17.5,0.0
136,18.0,16.0,7,2024,0.0,16.5,15.5,0.0
137,19.0,15.0,7,2024,33.0,14.0,13.333333333333334,2.0
138,20.0,14.333333333333334,7,2024,0.0,18.5,18.833333333333332,0.0
139,1.0,10.0,8,2024,101.0,2.0,4.0,15.0
140,2.0,8.333333333333334,8,2024,48.0,3.0,4.333333333333333,12.0
141,3.0,4.0,8,2024,85.0,2.0,3.3333333333333335,10.0
142,4.0,3.6666666666666665,8,2024,98.0,3.0,3.0,18.0
143,5.0,4.666666666666667,8,2024,43.0,6.0,6.666666666666667,7.0
144,6.0,3.3333333333333335,8,2024,145.0,12.0,4.0,25.0
145,7.0,4.666666666666667,8,2024,28.0,6.0,6.333333333333333,8.0
146,8.0,5.666666666666667,8,2024,14.0,10.0,11.333333333333334,1.0
147,9.0,12.0,8,2024,0.0,12.0,18.666666666666668,0.0
148,10.0,15.333333333333334,8,2024,0.0,13.5,13.666666666666666,0.0
149,11.0,18.333333333333332,8,2024,33.0,12.5,13.666666666666666,0.0
150,12.0,16.0,8,2024,0.0,10.0,11.0,0.0
151,13.0,16.666666666666668,8,2024,0.0,14.5,16.0,0.0
152,14.0,13.333333333333334,8,2024,11.0,12.5,13.5,2.0
153,15.0,14.666666666666666,8,2024,0.0,12.0,16.333333333333332,0.0
154,16.0,13.666666666666666,8,2024,0.0,14.5,15.833333333333334,0.0
155,17.0,15.333333333333334,8,2024,1.0,13.5,14.5,0.0
156,18.0,12.333333333333334,8,2024,95.0,12.0,7.0,4.0
157,19.0,11.0,8,2024,4.0,19.5,12.666666666666666,0.0
158,20.0,10.333333333333334,8,2024,1.0,19.5,14.166666666666666,0.0
159,1.0,9.666666666666666,9,2024,153.0,9.5,9.5,8.0
160,2.0,7.333333333333333,9,2024,110.0,3.5,3.0,12.0
161,3.0,5.0,9,2024,53.0,3.5,6.166666666666667,10.0
162,4.0,5.333333333333333,9,2024,35.0,3.5,5.166666666666667,7.0
163,5.0,4.666666666666667,9,2024,66.0,3.5,3.1666666666666665,18.0
164,6.0,6.666666666666667,9,2024,33.0,6.5,13.0,0.0
165,7.0,9.0,9,2024,11.0,6.5,10.5,0.0
166,8.0,12.333333333333334,9,2024,0.0,11.0,10.5,0.0
167,9.0,12.0,9,2024,1.0,9.5,14.0,1.0
168,10.0,13.0,9,2024,1.0,9.5,12.166666666666666,0.0
169,11.0,15.333333333333334,9,2024,4.0,11.5,16.833333333333332,0.0
170,12.0,18.666666666666668,9,2024,1.0,11.5,16.833333333333332,0.0
171,13.0,17.333333333333332,9,2024,0.0,14.0,15.166666666666666,0.0
172,14.0,13.666666666666666,9,2024,18.0,11.0,10.333333333333334,4.0
173,15.0,12.333333333333334,9,2024,0.0,14.0,14.333333333333334,0.0
174,16.0,9.0,9,2024,100.0,17.5,2.6666666666666665,15.0
175,17.0,9.333333333333334,9,2024,2.0,18.5,14.166666666666666,2.0
176,18.0,10.0,9,2024,95.0,9.5,11.166666666666666,0.0
177,19.0,9.333333333333334,9,2024,126.0,17.5,7.166666666666667,25.0
178,20.0,11.333333333333334,9,2024,0.0,18.5,14.166666666666666,0.0
179,1.0,5.666666666666667,10,2024,178.0,4.5,10.333333333333334,25.0
180,2.0,6.0,10,2024,128.0,4.5,3.3333333333333335,18.0
181,3.0,2.3333333333333335,10,2024,48.0,3.5,4.333333333333333,13.0
182,4.0,3.0,10,2024,68.0,3.5,3.5,15.0
183,5.0,8.666666666666666,10,2024,126.0,5.5,12.333333333333334,0.0
184,6.0,12.666666666666666,10,2024,100.0,5.5,13.5,0.0
185,7.0,13.333333333333334,10,2024,76.0,4.5,3.8333333333333335,10.0
186,8.0,13.0,10,2024,95.0,4.5,7.833333333333333,0.0
187,9.0,10.666666666666666,10,2024,3.0,9.5,10.833333333333334,2.0
188,10.0,12.333333333333334,10,2024,2.0,9.5,9.5,1.0
189,11.0,10.0,10,2024,4.0,14.0,14.166666666666666,0.0
190,12.0,9.0,10,2024,41.0,13.0,8.5,8.0
191,13.0,10.666666666666666,10,2024,0.0,14.5,14.166666666666666,0.0
192,14.0,9.333333333333334,10,2024,17.0,13.0,8.666666666666666,6.0
193,15.0,10.0,10,2024,4.0,17.0,10.666666666666666,4.0
194,16.0,9.333333333333334,10,2024,0.0,14.5,14.166666666666666,0.0
195,17.0,11.0,10,2024,1.0,14.0,12.333333333333334,0.0
196,18.0,14.0,10,2024,2.0,19.0,16.333333333333332,0.0
197,19.0,14.333333333333334,10,2024,18.0,17.0,13.0,0.0
198,20.0,17.0,10,2024,0.0,19.0,18.666666666666668,0.0
199,1.0,12.666666666666666,11,2024,80.0,2.5,3.5,12.0
200,2.0,10.333333333333334,11,2024,82.0,11.0,4.166666666666667,6.0
201,3.0,5.666666666666667,11,2024,108.0,7.0,9.5,8.0
202,4.0,5.333333333333333,11,2024,63.0,2.5,3.1666666666666665,15.0
203,5.0,3.3333333333333335,11,2024,203.0,6.0,6.166666666666667,25.0
204,6.0,5.0,11,2024,4.0,7.0,13.166666666666666,0.0
205,7.0,6.666666666666667,11,2024,99.0,6.0,5.0,4.0
206,8.0,12.0,11,2024,1.0,7.0,11.666666666666666,0.0
207,9.0,13.333333333333334,11,2024,4.0,11.5,15.0,0.0
208,10.0,13.666666666666666,11,2024,5.0,11.0,9.5,2.0
209,11.0,9.666666666666666,11,2024,136.0,7.0,6.0,10.0
210,12.0,8.0,11,2024,3.0,11.0,10.0,1.0
211,13.0,9.666666666666666,11,2024,17.0,15.5,10.833333333333334,0.0
212,14.0,14.333333333333334,11,2024,18.0,11.5,15.166666666666666,0.0
213,15.0,17.0,11,2024,2.0,17.0,18.833333333333332,0.0
214,16.0,17.666666666666668,11,2024,0.0,16.5,14.333333333333334,0.0
215,17.0,15.666666666666666,11,2024,0.0,16.5,15.166666666666666,0.0
216,18.0,13.666666666666666,11,2024,41.0,15.5,13.833333333333334,0.0
217,19.0,15.0,11,2024,0.0,17.0,18.333333333333332,0.0
218,20.0,11.333333333333334,11,2024,147.0,11.0,6.666666666666667,19.0
219,1.0,8.666666666666666,12,2024,75.0,10.0,2.8333333333333335,12.0
220,2.0,3.6666666666666665,12,2024,213.0,9.5,5.5,10.0
